Days,Datetime,Container,CPU %,MemUsage / Limit,Mem %, Block I/O
1,01/12/19-16:05:41,mongo,14.39%,1.083GiB / 7.696GiB,14.07%,802MB / 3.1GB
1,01/12/19-16:06:14,mongo,21.06%,1.083GiB / 7.696GiB,14.07%,802MB / 3.21GB
15,01/12/19-16:06:23,mongo,14.70%,1.083GiB / 7.696GiB,14.07%,802MB / 3.23GB
15,01/12/19-16:06:55,mongo,14.71%,1.083GiB / 7.696GiB,14.07%,802MB / 3.42GB
15,01/12/19-16:07:27,mongo,14.98%,1.083GiB / 7.696GiB,14.07%,802MB / 3.51GB
15,01/12/19-16:07:59,mongo,14.56%,1.083GiB / 7.696GiB,14.08%,802MB / 3.7GB
15,01/12/19-16:08:31,mongo,20.03%,1.083GiB / 7.696GiB,14.08%,802MB / 3.79GB
15,01/12/19-16:09:03,mongo,15.53%,1.304GiB / 7.696GiB,16.95%,802MB / 3.93GB
15,01/12/19-16:09:35,mongo,15.44%,1.479GiB / 7.696GiB,19.22%,802MB / 4.02GB
15,01/12/19-16:10:07,mongo,30.45%,1.696GiB / 7.696GiB,22.04%,802MB / 4.31GB
15,01/12/19-16:10:39,mongo,15.23%,1.881GiB / 7.696GiB,24.44%,802MB / 4.4GB
15,01/12/19-16:11:11,mongo,15.15%,2.096GiB / 7.696GiB,27.23%,802MB / 4.6GB
15,01/12/19-16:11:44,mongo,14.60%,2.296GiB / 7.696GiB,29.84%,802MB / 4.69GB
15,01/12/19-16:12:16,mongo,15.16%,2.502GiB / 7.696GiB,32.51%,802MB / 4.87GB
15,01/12/19-16:12:48,mongo,15.47%,2.678GiB / 7.696GiB,34.80%,802MB / 4.95GB
15,01/12/19-16:13:20,mongo,18.26%,2.706GiB / 7.696GiB,35.16%,802MB / 5.12GB
15,01/12/19-16:13:52,mongo,15.34%,2.761GiB / 7.696GiB,35.87%,802MB / 5.21GB
15,01/12/19-16:14:24,mongo,15.92%,2.762GiB / 7.696GiB,35.89%,802MB / 5.45GB
15,01/12/19-16:14:56,mongo,17.90%,2.763GiB / 7.696GiB,35.90%,802MB / 5.65GB
15,01/12/19-16:15:28,mongo,15.44%,2.763GiB / 7.696GiB,35.90%,802MB / 5.74GB
15,01/12/19-16:16:01,mongo,14.13%,2.833GiB / 7.696GiB,36.81%,802MB / 5.79GB
15,01/12/19-16:16:33,mongo,16.75%,2.935GiB / 7.696GiB,38.13%,802MB / 5.79GB
30,01/12/19-16:16:37,mongo,14.93%,2.933GiB / 7.696GiB,38.12%,802MB / 5.8GB
30,01/12/19-16:17:10,mongo,14.97%,2.933GiB / 7.696GiB,38.11%,802MB / 6GB
30,01/12/19-16:17:42,mongo,15.32%,2.933GiB / 7.696GiB,38.11%,802MB / 6.1GB
