Days,Datetime,Container,CPU %,MemUsage / Limit,Mem %, Block I/O
1,01/12/19-22:24:13,mongo,25.98%,3.493GiB / 7.696GiB,45.38%,12.5GB / 58.3GB
1,01/12/19-22:24:45,mongo,71.40%,3.496GiB / 7.696GiB,45.43%,12.5GB / 58.4GB
2,01/12/19-22:24:58,mongo,22.63%,3.496GiB / 7.696GiB,45.42%,12.5GB / 58.4GB
2,01/12/19-22:25:30,mongo,24.59%,3.495GiB / 7.696GiB,45.42%,12.5GB / 58.6GB
3,01/12/19-22:25:50,mongo,23.65%,3.497GiB / 7.696GiB,45.44%,12.5GB / 58.7GB
3,01/12/19-22:26:22,mongo,24.35%,3.497GiB / 7.696GiB,45.43%,12.5GB / 58.9GB
4,01/12/19-22:26:45,mongo,23.37%,3.497GiB / 7.696GiB,45.44%,12.5GB / 58.9GB
4,01/12/19-22:27:18,mongo,24.10%,3.496GiB / 7.696GiB,45.43%,12.5GB / 59.1GB
5,01/12/19-22:27:45,mongo,32.48%,3.496GiB / 7.696GiB,45.42%,12.5GB / 59.1GB
5,01/12/19-22:28:18,mongo,35.79%,3.495GiB / 7.696GiB,45.41%,12.5GB / 59.4GB
5,01/12/19-22:28:50,6,01/12/19-22:28:50,mongo,15.22%,3.494GiB / 7.696GiB,45.39%,12.5GB / 59.4GB
mongo,23.31%,3.494GiB / 7.696GiB,45.39%,12.5GB / 59.4GB
6,01/12/19-22:29:22,mongo,23.33%,3.493GiB / 7.696GiB,45.38%,12.5GB / 59.6GB
6,01/12/19-22:29:54,mongo,18.28%,3.497GiB / 7.696GiB,45.44%,12.5GB / 59.6GB
7,01/12/19-22:29:59,mongo,40.37%,3.497GiB / 7.696GiB,45.44%,12.5GB / 59.7GB
7,01/12/19-22:30:32,mongo,23.72%,3.496GiB / 7.696GiB,45.43%,12.5GB / 59.9GB
7,01/12/19-22:31:04,mongo,18.85%,3.497GiB / 7.696GiB,45.44%,12.5GB / 59.9GB
8,01/12/19-22:31:13,mongo,24.16%,3.497GiB / 7.696GiB,45.44%,12.5GB / 59.9GB
8,01/12/19-22:31:45,mongo,70.34%,3.498GiB / 7.696GiB,45.45%,12.5GB / 60GB
8,01/12/19-22:32:17,mongo,18.82%,3.498GiB / 7.696GiB,45.45%,12.5GB / 60.1GB
9,01/12/19-22:32:30,mongo,23.63%,3.498GiB / 7.696GiB,45.45%,12.5GB / 60.1GB
9,01/12/19-22:33:03,mongo,24.07%,3.498GiB / 7.696GiB,45.45%,12.5GB / 60.2GB
9,01/12/19-22:33:35,mongo,18.40%,3.498GiB / 7.696GiB,45.45%,12.5GB / 60.4GB
10,01/12/19-22:33:52,mongo,24.55%,3.497GiB / 7.696GiB,45.44%,12.5GB / 60.4GB
10,01/12/19-22:34:24,mongo,58.61%,3.497GiB / 7.696GiB,45.43%,12.5GB / 60.6GB
10,01/12/19-22:34:56,mongo,19.43%,3.499GiB / 7.696GiB,45.46%,12.5GB / 60.6GB
11,01/12/19-22:35:19,mongo,36.79%,3.498GiB / 7.696GiB,45.46%,12.5GB / 60.6GB
11,01/12/19-22:35:51,mongo,23.66%,3.498GiB / 7.696GiB,45.45%,12.5GB / 60.8GB
11,01/12/19-22:36:23,mongo,30.65%,3.498GiB / 7.696GiB,45.45%,12.5GB / 60.8GB
12,01/12/19-22:36:52,mongo,24.58%,3.497GiB / 7.696GiB,45.44%,12.5GB / 60.9GB
12,01/12/19-22:37:24,mongo,24.29%,3.499GiB / 7.696GiB,45.46%,12.5GB / 60.9GB
12,01/12/19-22:37:56,mongo,21.80%,3.498GiB / 7.696GiB,45.45%,12.5GB / 61.1GB
12,01/12/19-22:38:28,mongo,24.79%,3.498GiB / 7.696GiB,45.45%,12.5GB / 61.1GB
13,01/12/19-22:38:33,mongo,23.67%,3.498GiB / 7.696GiB,45.45%,12.5GB / 61.1GB
13,01/12/19-22:39:06,mongo,25.26%,3.498GiB / 7.696GiB,45.45%,12.5GB / 61.2GB
13,01/12/19-22:39:38,mongo,25.06%,3.497GiB / 7.696GiB,45.44%,12.5GB / 61.3GB
13,01/12/19-22:40:10,mongo,45.00%,3.481GiB / 7.696GiB,45.23%,12.5GB / 61.3GB
14,01/12/19-22:40:19,mongo,24.78%,3.48GiB / 7.696GiB,45.22%,12.5GB / 61.3GB
14,01/12/19-22:40:51,mongo,23.88%,3.48GiB / 7.696GiB,45.22%,12.5GB / 61.5GB
14,01/12/19-22:41:23,mongo,41.10%,3.41GiB / 7.696GiB,44.30%,12.5GB / 61.5GB
14,01/12/19-22:41:55,mongo,84.18%,3.476GiB / 7.696GiB,45.16%,12.5GB / 61.5GB
15,01/12/19-22:42:16,mongo,24.27%,3.476GiB / 7.696GiB,45.16%,12.5GB / 61.5GB
15,01/12/19-22:42:48,mongo,33.86%,3.476GiB / 7.696GiB,45.16%,12.5GB / 61.7GB
15,01/12/19-22:43:20,mongo,18.92%,3.477GiB / 7.696GiB,45.17%,12.5GB / 61.7GB
15,01/12/19-22:43:52,mongo,60.64%,3.474GiB / 7.696GiB,45.13%,12.5GB / 61.8GB
16,01/12/19-22:44:21,mongo,23.91%,3.48GiB / 7.696GiB,45.21%,12.5GB / 61.8GB
16,01/12/19-22:44:53,mongo,44.79%,3.48GiB / 7.696GiB,45.22%,12.5GB / 62GB
16,01/12/19-22:45:25,mongo,29.30%,3.478GiB / 7.696GiB,45.19%,12.5GB / 62GB
16,01/12/19-22:45:57,mongo,40.24%,3.474GiB / 7.696GiB,45.14%,12.5GB / 62.1GB
16,01/12/19-22:46:29,mongo,32.64%,3.506GiB / 7.696GiB,45.55%,12.5GB / 62.1GB
17,01/12/19-22:46:36,mongo,23.66%,3.504GiB / 7.696GiB,45.53%,12.5GB / 62.1GB
17,01/12/19-22:47:09,mongo,24.74%,3.513GiB / 7.696GiB,45.64%,12.5GB / 62.2GB
17,01/12/19-22:47:41,mongo,40.62%,3.515GiB / 7.696GiB,45.67%,12.5GB / 62.2GB
17,01/12/19-22:48:13,mongo,44.68%,3.513GiB / 7.696GiB,45.65%,12.5GB / 62.3GB
17,01/12/19-22:48:45,mongo,45.54%,3.51GiB / 7.696GiB,45.61%,12.5GB / 62.3GB
18,01/12/19-22:48:57,mongo,24.31%,3.509GiB / 7.696GiB,45.60%,12.5GB / 62.3GB
18,01/12/19-22:49:30,mongo,37.30%,3.51GiB / 7.696GiB,45.60%,12.5GB / 62.4GB
18,01/12/19-22:50:02,mongo,45.01%,3.508GiB / 7.696GiB,45.58%,12.5GB / 62.5GB
18,01/12/19-22:50:34,mongo,74.76%,3.505GiB / 7.696GiB,45.54%,12.5GB / 62.5GB
18,01/12/19-22:51:06,mongo,58.90%,3.5GiB / 7.696GiB,45.48%,12.5GB / 62.5GB
19,01/12/19-22:51:34,mongo,24.08%,3.498GiB / 7.696GiB,45.45%,12.5GB / 62.5GB
19,01/12/19-22:52:06,mongo,25.22%,3.509GiB / 7.696GiB,45.59%,12.5GB / 62.7GB
19,01/12/19-22:52:38,mongo,41.86%,3.514GiB / 7.696GiB,45.66%,12.5GB / 62.7GB
19,01/12/19-22:53:10,mongo,39.46%,3.514GiB / 7.696GiB,45.66%,12.5GB / 62.8GB
19,01/12/19-22:53:42,mongo,76.77%,3.515GiB / 7.696GiB,45.67%,12.5GB / 62.8GB
19,01/12/19-22:54:14,mongo,45.23%,3.513GiB / 7.696GiB,45.64%,12.5GB / 62.8GB
20,01/12/19-22:54:19,mongo,23.57%,3.513GiB / 7.696GiB,45.64%,12.5GB / 62.8GB
20,01/12/19-22:54:51,mongo,27.23%,3.516GiB / 7.696GiB,45.69%,12.5GB / 62.9GB
20,01/12/19-22:55:23,mongo,46.23%,3.524GiB / 7.696GiB,45.78%,12.5GB / 63GB
20,01/12/19-22:55:55,mongo,103.12%,3.522GiB / 7.696GiB,45.76%,12.5GB / 63GB
20,01/12/19-22:56:28,mongo,42.08%,3.519GiB / 7.696GiB,45.73%,12.5GB / 63.1GB
20,01/12/19-22:57:00,mongo,76.45%,3.52GiB / 7.696GiB,45.74%,12.5GB / 63.1GB
21,01/12/19-22:57:12,mongo,23.91%,3.52GiB / 7.696GiB,45.73%,12.5GB / 63.1GB
21,01/12/19-22:57:44,mongo,64.64%,3.521GiB / 7.696GiB,45.75%,12.5GB / 63.2GB
21,01/12/19-22:58:16,mongo,43.98%,3.518GiB / 7.696GiB,45.71%,12.5GB / 63.3GB
21,01/12/19-22:58:48,mongo,42.95%,3.517GiB / 7.696GiB,45.69%,12.5GB / 63.3GB
21,01/12/19-22:59:20,mongo,53.52%,3.514GiB / 7.696GiB,45.65%,12.5GB / 63.3GB
21,01/12/19-22:59:52,mongo,37.95%,3.504GiB / 7.696GiB,45.52%,12.5GB / 63.3GB
22,01/12/19-23:00:16,mongo,24.14%,3.523GiB / 7.696GiB,45.77%,12.5GB / 63.3GB
22,01/12/19-23:00:48,mongo,24.57%,3.526GiB / 7.696GiB,45.81%,12.5GB / 63.4GB
22,01/12/19-23:01:20,mongo,50.24%,3.525GiB / 7.696GiB,45.81%,12.5GB / 63.4GB
22,01/12/19-23:01:52,mongo,37.62%,3.525GiB / 7.696GiB,45.80%,12.5GB / 63.4GB
22,01/12/19-23:02:24,mongo,81.87%,3.523GiB / 7.696GiB,45.77%,12.5GB / 63.4GB
22,01/12/19-23:02:56,mongo,75.83%,3.52GiB / 7.696GiB,45.73%,12.5GB / 63.4GB
23,01/12/19-23:03:18,mongo,25.13%,3.517GiB / 7.696GiB,45.70%,12.5GB / 63.5GB
23,01/12/19-23:03:50,mongo,53.31%,3.518GiB / 7.696GiB,45.71%,12.5GB / 63.5GB
23,01/12/19-23:04:22,mongo,44.74%,3.515GiB / 7.696GiB,45.67%,12.5GB / 63.7GB
23,01/12/19-23:04:54,mongo,37.99%,3.513GiB / 7.696GiB,45.64%,12.5GB / 63.7GB
23,01/12/19-23:05:27,mongo,37.13%,3.507GiB / 7.696GiB,45.56%,12.5GB / 63.7GB
23,01/12/19-23:05:59,mongo,41.27%,3.503GiB / 7.696GiB,45.51%,12.5GB / 63.7GB
23,01/12/19-23:06:31,mongo,56.14%,3.5GiB / 7.696GiB,45.47%,12.5GB / 63.7GB
24,01/12/19-23:06:40,mongo,24.70%,3.498GiB / 7.696GiB,45.45%,12.5GB / 63.7GB
24,01/12/19-23:07:12,mongo,23.78%,3.507GiB / 7.696GiB,45.57%,12.5GB / 63.9GB
24,01/12/19-23:07:44,mongo,48.97%,3.519GiB / 7.696GiB,45.72%,12.5GB / 63.9GB
24,01/12/19-23:08:16,mongo,38.14%,3.533GiB / 7.696GiB,45.91%,12.5GB / 63.9GB
24,01/12/19-23:08:48,mongo,43.71%,3.513GiB / 7.696GiB,45.65%,12.5GB / 63.9GB
24,01/12/19-23:09:21,mongo,42.26%,3.509GiB / 7.696GiB,45.59%,12.5GB / 63.9GB
24,01/12/19-23:09:53,mongo,19.34%,3.506GiB / 7.696GiB,45.55%,12.5GB / 63.9GB
25,01/12/19-23:10:16,mongo,24.18%,3.504GiB / 7.696GiB,45.52%,12.5GB / 63.9GB
25,01/12/19-23:10:48,mongo,33.14%,3.508GiB / 7.696GiB,45.58%,12.5GB / 64GB
25,01/12/19-23:11:20,mongo,66.64%,3.508GiB / 7.696GiB,45.58%,12.5GB / 64.1GB
25,01/12/19-23:11:52,mongo,42.85%,3.507GiB / 7.696GiB,45.56%,12.5GB / 64.1GB
25,01/12/19-23:12:24,mongo,41.83%,3.503GiB / 7.696GiB,45.52%,12.5GB / 64.1GB
25,01/12/19-23:12:56,mongo,54.07%,3.501GiB / 7.696GiB,45.49%,12.5GB / 64.1GB
25,01/12/19-23:13:28,mongo,63.66%,3.498GiB / 7.696GiB,45.45%,12.5GB / 64.1GB
26,01/12/19-23:13:52,mongo,24.11%,3.389GiB / 7.696GiB,44.03%,12.5GB / 64.1GB
26,01/12/19-23:14:24,mongo,29.61%,3.415GiB / 7.696GiB,44.37%,12.5GB / 64.3GB
26,01/12/19-23:14:56,mongo,40.13%,3.413GiB / 7.696GiB,44.34%,12.5GB / 64.4GB
26,01/12/19-23:15:28,mongo,43.63%,3.41GiB / 7.696GiB,44.30%,12.5GB / 64.4GB
26,01/12/19-23:16:01,mongo,70.34%,3.439GiB / 7.696GiB,44.68%,12.5GB / 64.4GB
26,01/12/19-23:16:33,mongo,39.16%,3.44GiB / 7.696GiB,44.69%,12.5GB / 64.4GB
26,01/12/19-23:17:05,mongo,43.87%,3.438GiB / 7.696GiB,44.67%,12.5GB / 64.4GB
27,01/12/19-23:17:36,mongo,23.75%,3.436GiB / 7.696GiB,44.64%,12.5GB / 64.4GB
27,01/12/19-23:18:09,mongo,40.26%,3.439GiB / 7.696GiB,44.68%,12.5GB / 64.5GB
27,01/12/19-23:18:41,mongo,95.82%,3.441GiB / 7.696GiB,44.70%,12.5GB / 64.6GB
27,01/12/19-23:19:13,mongo,30.83%,3.463GiB / 7.696GiB,44.99%,12.5GB / 64.6GB
27,01/12/19-23:19:45,mongo,87.63%,3.504GiB / 7.696GiB,45.53%,12.5GB / 64.6GB
27,01/12/19-23:20:17,mongo,43.90%,3.498GiB / 7.696GiB,45.45%,12.5GB / 64.6GB
27,01/12/19-23:20:49,mongo,67.12%,3.495GiB / 7.696GiB,45.41%,12.5GB / 64.6GB
27,01/12/19-23:21:21,mongo,39.43%,3.494GiB / 7.696GiB,45.39%,12.5GB / 64.6GB
28,01/12/19-23:21:32,mongo,24.03%,3.492GiB / 7.696GiB,45.38%,12.5GB / 64.6GB
28,01/12/19-23:22:04,mongo,66.59%,3.501GiB / 7.696GiB,45.50%,12.5GB / 64.7GB
28,01/12/19-23:22:36,mongo,59.13%,3.52GiB / 7.696GiB,45.73%,12.5GB / 64.8GB
28,01/12/19-23:23:08,mongo,87.60%,3.518GiB / 7.696GiB,45.70%,12.5GB / 64.8GB
28,01/12/19-23:23:40,mongo,45.48%,3.515GiB / 7.696GiB,45.67%,12.5GB / 64.8GB
28,01/12/19-23:24:13,mongo,41.59%,3.513GiB / 7.696GiB,45.64%,12.5GB / 64.8GB
28,01/12/19-23:24:45,mongo,42.67%,3.509GiB / 7.696GiB,45.59%,12.5GB / 64.8GB
28,01/12/19-23:25:17,mongo,78.53%,3.506GiB / 7.696GiB,45.55%,12.5GB / 64.8GB
29,01/12/19-23:25:38,mongo,24.28%,3.505GiB / 7.696GiB,45.54%,12.5GB / 64.8GB
29,01/12/19-23:26:10,mongo,24.69%,3.51GiB / 7.696GiB,45.60%,12.5GB / 64.9GB
29,01/12/19-23:26:42,mongo,46.13%,3.511GiB / 7.696GiB,45.62%,12.5GB / 65GB
29,01/12/19-23:27:14,mongo,40.27%,3.509GiB / 7.696GiB,45.59%,12.5GB / 65GB
29,01/12/19-23:27:46,mongo,68.49%,3.506GiB / 7.696GiB,45.55%,12.5GB / 65GB
29,01/12/19-23:28:18,mongo,40.07%,3.502GiB / 7.696GiB,45.50%,12.5GB / 65GB
29,01/12/19-23:28:50,mongo,78.99%,3.499GiB / 7.696GiB,45.46%,12.5GB / 65GB
29,01/12/19-23:29:22,mongo,41.80%,3.498GiB / 7.696GiB,45.45%,12.5GB / 65GB
29,01/12/19-23:29:54,30,01/12/19-23:29:55,mongo,24.49%,3.495GiB / 7.696GiB,45.41%,12.5GB / 65GB
mongo,24.49%,3.495GiB / 7.696GiB,45.41%,12.5GB / 65GB
30,01/12/19-23:30:27,mongo,99.08%,3.52GiB / 7.696GiB,45.73%,12.5GB / 65.1GB
30,01/12/19-23:30:59,mongo,45.41%,3.536GiB / 7.696GiB,45.94%,12.5GB / 65.3GB
30,01/12/19-23:31:31,mongo,73.98%,3.534GiB / 7.696GiB,45.92%,12.5GB / 65.3GB
30,01/12/19-23:32:03,mongo,51.72%,3.53GiB / 7.696GiB,45.86%,12.5GB / 65.3GB
30,01/12/19-23:32:36,mongo,55.61%,3.528GiB / 7.696GiB,45.83%,12.5GB / 65.3GB
30,01/12/19-23:33:08,mongo,86.88%,3.524GiB / 7.696GiB,45.79%,12.5GB / 65.3GB
30,01/12/19-23:33:40,mongo,79.10%,3.522GiB / 7.696GiB,45.77%,12.5GB / 65.3GB
30,01/12/19-23:34:12,31,01/12/19-23:34:13,mongo,20.83%,3.519GiB / 7.696GiB,45.73%,12.5GB / 65.3GB
mongo,23.78%,3.519GiB / 7.696GiB,45.73%,12.5GB / 65.3GB
31,01/12/19-23:34:45,mongo,24.28%,3.53GiB / 7.696GiB,45.87%,12.5GB / 65.5GB
31,01/12/19-23:35:17,mongo,88.99%,3.535GiB / 7.696GiB,45.93%,12.5GB / 65.5GB
31,01/12/19-23:35:49,mongo,45.65%,3.534GiB / 7.696GiB,45.91%,12.5GB / 65.6GB
31,01/12/19-23:36:22,mongo,99.35%,3.532GiB / 7.696GiB,45.89%,12.5GB / 65.6GB
31,01/12/19-23:36:54,mongo,88.85%,3.529GiB / 7.696GiB,45.86%,12.5GB / 65.6GB
31,01/12/19-23:37:26,mongo,41.37%,3.526GiB / 7.696GiB,45.82%,12.5GB / 65.6GB
31,01/12/19-23:37:58,mongo,58.32%,3.522GiB / 7.696GiB,45.76%,12.5GB / 65.6GB
31,01/12/19-23:38:30,mongo,48.00%,3.521GiB / 7.696GiB,45.75%,12.5GB / 65.6GB
32,01/12/19-23:38:41,mongo,25.18%,3.52GiB / 7.696GiB,45.73%,12.5GB / 65.6GB
32,01/12/19-23:39:13,mongo,38.06%,3.529GiB / 7.696GiB,45.85%,12.5GB / 65.7GB
32,01/12/19-23:39:45,mongo,79.47%,3.526GiB / 7.696GiB,45.81%,12.5GB / 65.8GB
32,01/12/19-23:40:18,mongo,94.59%,3.526GiB / 7.696GiB,45.81%,12.5GB / 65.8GB
32,01/12/19-23:40:50,mongo,102.97%,3.524GiB / 7.696GiB,45.79%,12.5GB / 65.8GB
32,01/12/19-23:41:22,mongo,48.40%,3.522GiB / 7.696GiB,45.76%,12.5GB / 65.8GB
32,01/12/19-23:41:54,mongo,61.39%,3.52GiB / 7.696GiB,45.73%,12.5GB / 65.8GB
32,01/12/19-23:42:26,mongo,63.05%,3.521GiB / 7.696GiB,45.75%,12.5GB / 65.8GB
32,01/12/19-23:42:58,mongo,41.49%,3.516GiB / 7.696GiB,45.69%,12.5GB / 65.8GB
33,01/12/19-23:43:23,mongo,24.87%,3.516GiB / 7.696GiB,45.68%,12.5GB / 65.8GB
33,01/12/19-23:43:55,mongo,24.72%,3.534GiB / 7.696GiB,45.92%,12.5GB / 66GB
33,01/12/19-23:44:27,mongo,80.26%,3.532GiB / 7.696GiB,45.89%,12.5GB / 66GB
