Days,Datetime,Container,CPU %,MemUsage / Limit,Mem %, Block I/O
1,01/12/19-19:24:04,mongo,14.78%,3.513GiB / 7.696GiB,45.65%,6.94GB / 44.5GB
1,01/12/19-19:24:36,mongo,14.54%,3.514GiB / 7.696GiB,45.65%,6.94GB / 44.7GB
2,01/12/19-19:24:45,mongo,22.55%,3.514GiB / 7.696GiB,45.65%,6.94GB / 44.7GB
2,01/12/19-19:25:18,mongo,14.20%,3.514GiB / 7.696GiB,45.65%,6.94GB / 44.9GB
3,01/12/19-19:25:31,mongo,15.41%,3.514GiB / 7.696GiB,45.65%,6.94GB / 44.9GB
3,01/12/19-19:26:03,mongo,37.94%,3.514GiB / 7.696GiB,45.65%,6.94GB / 45GB
4,01/12/19-19:26:21,mongo,14.24%,3.514GiB / 7.696GiB,45.65%,6.94GB / 45.1GB
4,01/12/19-19:26:53,mongo,21.51%,3.514GiB / 7.696GiB,45.66%,6.94GB / 45.2GB
5,01/12/19-19:27:14,mongo,14.21%,3.514GiB / 7.696GiB,45.66%,6.94GB / 45.2GB
5,01/12/19-19:27:46,mongo,14.22%,3.514GiB / 7.696GiB,45.66%,6.94GB / 45.4GB
6,01/12/19-19:28:11,mongo,14.45%,3.514GiB / 7.696GiB,45.65%,6.94GB / 45.4GB
6,01/12/19-19:28:44,mongo,14.69%,3.514GiB / 7.696GiB,45.66%,6.94GB / 45.6GB
7,01/12/19-19:29:13,mongo,14.78%,3.514GiB / 7.696GiB,45.65%,6.94GB / 45.6GB
7,01/12/19-19:29:46,mongo,14.95%,3.514GiB / 7.696GiB,45.66%,6.94GB / 45.8GB
7,01/12/19-19:30:18,8,01/12/19-19:30:19,mongo,7.41%,3.514GiB / 7.696GiB,45.66%,6.94GB / 45.8GB
mongo,14.75%,3.514GiB / 7.696GiB,45.66%,6.94GB / 45.8GB
8,01/12/19-19:30:51,mongo,14.95%,3.514GiB / 7.696GiB,45.66%,6.94GB / 46GB
8,01/12/19-19:31:23,mongo,30.66%,3.514GiB / 7.696GiB,45.66%,6.94GB / 46.1GB
9,01/12/19-19:31:28,mongo,14.94%,3.514GiB / 7.696GiB,45.66%,6.94GB / 46.1GB
9,01/12/19-19:32:00,mongo,18.24%,3.514GiB / 7.696GiB,45.66%,6.94GB / 46.2GB
9,01/12/19-19:32:32,mongo,13.90%,3.514GiB / 7.696GiB,45.66%,6.94GB / 46.2GB
10,01/12/19-19:32:41,mongo,16.19%,3.514GiB / 7.696GiB,45.66%,6.94GB / 46.2GB
10,01/12/19-19:33:13,mongo,15.73%,3.514GiB / 7.696GiB,45.66%,6.94GB / 46.3GB
10,01/12/19-19:33:45,mongo,13.33%,3.514GiB / 7.696GiB,45.66%,6.94GB / 46.5GB
11,01/12/19-19:33:59,mongo,15.63%,3.514GiB / 7.696GiB,45.66%,6.94GB / 46.5GB
11,01/12/19-19:34:31,mongo,15.31%,3.515GiB / 7.696GiB,45.67%,6.94GB / 46.7GB
11,01/12/19-19:35:03,mongo,13.20%,3.514GiB / 7.696GiB,45.66%,6.94GB / 46.7GB
12,01/12/19-19:35:21,mongo,14.79%,3.514GiB / 7.696GiB,45.66%,6.94GB / 46.7GB
12,01/12/19-19:35:53,mongo,23.54%,3.515GiB / 7.696GiB,45.67%,6.94GB / 46.9GB
12,01/12/19-19:36:25,mongo,13.71%,3.513GiB / 7.696GiB,45.65%,6.94GB / 46.9GB
13,01/12/19-19:36:46,mongo,14.51%,3.513GiB / 7.696GiB,45.65%,6.94GB / 47GB
13,01/12/19-19:37:19,mongo,14.91%,3.513GiB / 7.696GiB,45.65%,6.94GB / 47.1GB
