Dias,GeracaoDados,Insercao,Busca,TempoTotal,TotalDados,UsoDisco(MB)
1,10.750281455824734,26.939344310019806,3.999643010996806,41.689268776841345,1440000,34.10000000000002
2,21.748788755954592,53.58080291403894,7.87946891500178,83.20906058499531,2880000,96.80000000000001
3,32.7761317460463,80.23502270994504,11.867196767001587,124.87835122299293,4320000,159.3
4,43.74140295304096,106.82762739390455,15.647817039003712,166.21684738594922,5760000,300.6
5,54.74422006809618,133.49725832098193,19.640245614995365,207.88172400407348,7200000,249.20000000000005
6,65.8612388620968,160.2434256380875,23.74715191800351,249.8518164181878,8640000,411.4
7,76.82159771510487,187.04464655317133,27.66609045599762,291.5323347242738,10080000,355.29999999999995
8,87.845144337276,213.82981780518458,31.516963898997346,333.1919260414579,11520000,425.29999999999995
9,98.72647723127739,240.61826951226976,35.36570443099481,374.71045117454196,12960000,478.5
10,109.73016110822209,267.3905131612337,40.00756254300359,417.12823681245936,14400000,531.6
11,120.64864951110212,294.16729968324944,44.165996504998475,458.98194569935004,15840000,569.6
12,131.56535703805275,320.9893097895765,47.46865137200075,500.02331819963,17280000,638.5
13,142.59785436212405,347.97179105651594,52.36769040299987,542.9373358216399,18720000,692.5
14,153.73259301811777,374.8762060105364,56.60543210600008,585.2142311346543,20160000,745.5
15,164.7319864641031,401.9049948474858,59.640983133998816,626.2779644455877,21600000,798.5
16,175.7510724620879,428.87696812750073,63.91910380899935,668.547144398588,23040000,852.5
17,186.78369148718775,455.846530813491,67.72586635499465,710.3560886556734,24480000,905.5
18,197.77910339817754,482.83515381938196,71.57499999599531,752.1892572135548,25920000,959.5
19,208.68263186304102,509.95297879145073,76.06349315099942,794.6991038054912,27360000,1013.5
20,219.64065824190038,536.8931456764694,80.56083155800297,837.0946354763728,28800000,1066.5
21,230.65969761399901,563.859282250407,84.80658073900122,879.3255606034072,30240000,1120.5
22,241.50830410114577,590.888476011336,89.26692957300111,921.6637096854829,31680000,1173.5
23,252.43573067698162,618.020979779365,94.00642657199933,964.463137028346,33120000,1227.5
24,263.480573939014,645.0249043874719,97.58381042199471,1006.0892887484806,34560000,1280.5
25,274.5863730561614,672.048353317412,101.61291429000266,1048.247640663576,36000000,1334.5
26,285.67339620217535,699.0651408072663,107.32635258099617,1092.0648895904378,37440000,1387.5
27,296.8555717042764,726.321738517312,111.56523339600244,1134.7425436175909,38880000,1441.5
28,307.9734747052644,753.4810199244239,114.4653911419955,1175.9198857716838,40320000,1495.5
29,319.0806296333685,780.5865292237067,118.07013026299683,1217.737289120072,41760000,1548.5
30,330.04351116232283,807.602887820678,122.47051897700294,1260.1169179600038,43200000,1602.5
31,341.13094230924617,834.5482068156052,126.40902679300052,1302.088175917852,44640000,1655.5
32,352.1608764192424,861.5486199257139,131.31566192299942,1345.0251582679557,46080000,1709.5
33,363.15184856624546,888.448498422571,135.66703411799972,1387.2673811068162,47520000,1762.5
34,374.15518064524076,915.424543971596,139.64833529299358,1429.2280599098303,48960000,1817.5
35,385.09644945826585,942.3741463295373,143.2884485159957,1470.7590443037989,50400000,1870.5
36,396.16223579518555,969.339658009616,147.78990064800018,1513.2917944528017,51840000,1923.5
37,407.11915651323216,996.1370413816185,152.42444321700168,1555.6806411118523,53280000,1977.5
38,418.2305900694846,1023.1522875944938,156.38570703499863,1597.768584698977,54720000,2030.5
39,429.16255980959977,1050.0338036294415,159.08303163899836,1638.2793950780397,56160000,2084.5
40,440.1351149214679,1077.0437990944702,164.67303208099474,1681.8519460969328,57600000,2138.5
41,451.48336677338375,1104.8668664786092,168.43472907600517,1724.784962327998,59040000,2191.5
42,462.38697543249873,1131.729665287632,172.196448116003,1766.3130888361338,60480000,2244.5
43,473.31488017943775,1158.649624215548,176.0021498740025,1807.9666542689883,61920000,2298.5
44,484.3886360775141,1185.4819592546482,180.19533274100104,1850.0659280731634,63360000,2352.5
45,495.36169269163656,1212.5717606965627,184.98316664199956,1892.9166200301988,64800000,2406.5
46,506.3960457546855,1239.572355452634,189.30988085100398,1935.2782820583234,66240000,2459.5
47,517.3566100556345,1266.4640731945838,194.56593857999542,1978.3866218302137,67680000,2513.5
48,528.3559856795182,1293.3052731145362,197.41760550899926,2019.0788643030537,69120000,2568.5
49,539.2086462164516,1320.1967720333996,201.14499796200107,2060.5504162118523,70560000,2623.5
50,550.2151044463608,1347.2155216963947,207.14684924600442,2104.57747538876,72000000,2678.5
51,561.1728277973307,1374.1653963307253,209.88959349299694,2145.227817621053,73440000,2733.5
52,572.1725995792949,1401.1732652137216,214.29221689200494,2187.6380816850215,74880000,2788.5
53,583.2280134192551,1428.0507202096196,219.4952960580049,2230.7740296868797,76320000,2843.5
54,594.3857440201537,1455.3504313327358,223.8165298649983,2273.5527052178877,77760000,2898.5
55,605.4480357791472,1482.3375352748262,227.61019873899932,2315.3957697929727,79200000,2954.5
56,616.618826620157,1509.2980221659964,233.30515355600073,2359.222002342154,80640000,3009.5
57,627.7796864132542,1536.3202561969738,237.06396285299707,2401.163905463225,82080000,3064.5
58,638.7623977891271,1563.2398820339513,240.59087968899985,2442.5931595120783,83520000,3119.5
59,649.8747192509254,1590.4745727778864,250.7465154620004,2491.095807490812,84960000,3174.5
60,660.8351173490883,1617.4272964549018,258.0319239780001,2536.29433778199,86400000,3229.5
61,671.9841852271056,1644.2838240969213,278.5494231449993,2594.8174324690262,87840000,3284.5
